"معرف","اسم المنتج","الوصف","السعر الحالي","السعر الأصلي","رابط الصورة","رابط المنتج"
"42","ماكينة حلاقة احترافية مع شاشة","ماكينة حلاقة احترافية مع شاشة - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","35.5","45.5","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatYkfhqsf1.jpg?alt=media&token=d600baee-8580-4b12-947e-323f15bcd648","https://sooq-jordan.arabsad.com/products/42.html"
"81","خرطوم مياه مع عجلة 15 متر","خرطوم مياه مع عجلة 15 متر - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","35.3","45.3","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatUxjUyqay.webp?alt=media&token=88f5e789-8cc3-4a5a-ac1b-3d4e4c24d24e","https://sooq-jordan.arabsad.com/products/81.html"
"61","الفير الدوار بإتجاهين","الفير الدوار بإتجاهين - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","35","45","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatrLnNveSG.jpg?alt=media&token=48f0f911-bd82-477d-bd42-2a852e76721d","https://sooq-jordan.arabsad.com/products/61.html"
"77","مصور الروبوت الشخصي الذكي","مصور الروبوت الشخصي الذكي - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","34.7","44.7","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatdlacZTGp.jpg?alt=media&token=c1524215-777d-4c44-bdb3-efebeea9e5ba","https://sooq-jordan.arabsad.com/products/77.html"
"19","جهاز تمارين رياضية بدواسات","جهاز تمارين رياضية بدواسات - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","34.3","44.3","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatJpzzBp7s.jpg?alt=media&token=8ccd2e9a-3237-488e-b3a5-7832b6ea4e21","https://sooq-jordan.arabsad.com/products/19.html"
"41","كاشف كاميرا صغير محمول","كاشف كاميرا صغير محمول - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","34.1","44.1","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatiiWCcuo2.png?alt=media&token=e6c38c28-d418-474a-b180-71a358be6ffd","https://sooq-jordan.arabsad.com/products/41.html"
"67","مكنسة تنظيف كهربائية روبوت","مكنسة تنظيف كهربائية روبوت - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","34.1","44.1","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2Fashyaatq5UUAcQS.jpg?alt=media&token=20692ea0-ce48-4f62-8f45-1fbf3e8d56fc","https://sooq-jordan.arabsad.com/products/67.html"
"48","قطاعة الخضار اليدوية","قطاعة الخضار اليدوية - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","34","44","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatCZ76KDh6.jpg?alt=media&token=198ae048-c196-4cb5-8b93-25951aca3f16","https://sooq-jordan.arabsad.com/products/48.html"
"44","مكبر صوت مع ليد للشحن اللاسلكي","مكبر صوت مع ليد للشحن اللاسلكي - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","33.6","43.6","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatusMrOFAB.webp?alt=media&token=08f568dd-6446-4244-8a89-4a29672152cb","https://sooq-jordan.arabsad.com/products/44.html"
"30","لعبة القفز للاطفال","لعبة القفز للاطفال - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","29.9","39.9","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatwcFx5gat.jpg?alt=media&token=21c9c896-5296-412a-a654-2b60fd57e2a3","https://sooq-jordan.arabsad.com/products/30.html"
"31","جهاز قاتل الناموس والبعوض","جهاز قاتل الناموس والبعوض - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","29.9","39.9","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatEgkx6HXk.jpg?alt=media&token=1656c3f4-bfa0-4dc3-a134-13737b1f846a","https://sooq-jordan.arabsad.com/products/31.html"
"22","كاميرا مراقبة وتسجيل للسيارة","كاميرا مراقبة وتسجيل للسيارة - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","28.7","38.7","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatyS82jXkA.jpg?alt=media&token=3a7c8beb-a0b4-4dd9-9bb3-0694328ecbab","https://sooq-jordan.arabsad.com/products/22.html"
"59","حامل هاتف مع مكبر صوت","حامل هاتف مع مكبر صوت - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","28.7","38.7","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatTrn9wvVK.webp?alt=media&token=32e4f1dd-f638-4342-918d-b76f8ec38267","https://sooq-jordan.arabsad.com/products/59.html"
"11","نظارات مع مايكروفون","نظارات مع مايكروفون - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","28.5","38.5","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatcbDRKqet.jpg?alt=media&token=da8ae3d3-f495-4607-ae9f-43f327006132","https://sooq-jordan.arabsad.com/products/11.html"
"15","حبل غسيل يعلق على الحائط","حبل غسيل يعلق على الحائط - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","28.5","38.5","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2Fashyaat59y2BzYw.png?alt=media&token=ce6bbc11-4af3-45e3-96cb-e5c79a4b1d27","https://sooq-jordan.arabsad.com/products/15.html"
"32","ساعة منبه مع شعاع لعرض الوقت","ساعة منبه مع شعاع لعرض الوقت - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","28.5","38.5","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatMfKbzhaT.webp?alt=media&token=5e3c01a0-3568-49c6-8276-0163227bafc9","https://sooq-jordan.arabsad.com/products/32.html"
"56","طارد الكلاب","طارد الكلاب - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","28.2","38.2","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2Fashyaatga5THZxT.jfif?alt=media&token=db7a658d-b7f5-47db-bebd-d48730525e97","https://sooq-jordan.arabsad.com/products/56.html"
"82","ماكينة ازالة الوبر عن الملابس","ماكينة ازالة الوبر عن الملابس - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","28","38","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatyQebYOaO.jpg?alt=media&token=9d59a306-20ad-4024-880e-30be0285fc9e","https://sooq-jordan.arabsad.com/products/82.html"
"52","ولاعة كهربائية مضيئة","ولاعة كهربائية مضيئة - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","27.9","37.9","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatYZOmxm9r.jpg?alt=media&token=da7d5e71-fa5e-4eb7-9116-b6ec2fcb6463","https://sooq-jordan.arabsad.com/products/52.html"
"89","أداة ميكرو تاتش سولو لإزالة كامل شعر الجسم A.","أداة ميكرو تاتش سولو لإزالة كامل شعر الجسم A. - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","27.9","37.9","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2Fashyaat7JxvKiu0.jpg?alt=media&token=1f049350-215d-45f5-9653-70119fdc96e1","https://sooq-jordan.arabsad.com/products/89.html"
"4","مسدس تثبيت المسامير اليدوي","مسدس تثبيت المسامير اليدوي - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","27.8","37.8","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatQcIOBzdh.jpg?alt=media&token=c434022a-9738-4468-93e5-e51da697ac4d","https://sooq-jordan.arabsad.com/products/4.html"
"7","قطاعة خضراوات 9 في 1","قطاعة خضراوات 9 في 1 - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","27.8","37.8","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatJ0SBNro1.webp?alt=media&token=87df7966-014e-40a6-9a12-fdeebf50b844","https://sooq-jordan.arabsad.com/products/7.html"
"75","جهازالمساج والاسترخاء الحارق للدهون","جهازالمساج والاسترخاء الحارق للدهون - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","27.4","37.4","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatVf4rNfao.jpg?alt=media&token=8e77abc6-2f11-4e78-aff1-9ce006cfc846","https://sooq-jordan.arabsad.com/products/75.html"
"45","مجموعة راس الدش","مجموعة راس الدش - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","27.3","37.3","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatMff1jBne.jpg?alt=media&token=4ea69768-e306-4d0c-9851-433be0c7916a","https://sooq-jordan.arabsad.com/products/45.html"
"78","طقم المعدات الاحترافي","طقم المعدات الاحترافي - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","27.3","37.3","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaathXpwljuh.jpeg?alt=media&token=f15d5044-c898-477e-8c64-a3cb6028a877","https://sooq-jordan.arabsad.com/products/78.html"
"84","فاونديشن سونيسا","فاونديشن سونيسا - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","27","37","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatdSFePNzG.webp?alt=media&token=a6ed2fd9-6b5f-489d-933e-8d6e90d56a42","https://sooq-jordan.arabsad.com/products/84.html"
"29","فلتر لتنقية المياه","فلتر لتنقية المياه - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","26.9","36.9","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2Fashyaatjfkd7HHy.jpg?alt=media&token=4b58e016-f3cb-4ca5-8a35-c4b308de927e","https://sooq-jordan.arabsad.com/products/29.html"
"71","مبيد الحشرات الكهربائي","مبيد الحشرات الكهربائي - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","26.7","36.7","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatVq6HBW6d.jpg?alt=media&token=9fe4866b-5ecf-4330-9bfe-03ece1b99d7d","https://sooq-jordan.arabsad.com/products/71.html"
"86","بخاخ ازالة الكهرباء الساكنة من الاقمشة","بخاخ ازالة الكهرباء الساكنة من الاقمشة - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","26.7","36.7","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2Fashyaat7myCHPg7.png?alt=media&token=ca87e448-6b37-4683-bd91-441dc6c95d7a","https://sooq-jordan.arabsad.com/products/86.html"
"47","مصباح ليد ستار ماستر بالنجوم","مصباح ليد ستار ماستر بالنجوم - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","26.6","36.6","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaathHwNmYKv.jpg?alt=media&token=78dd52f4-6f73-4e26-a15d-e9a140bb5a38","https://sooq-jordan.arabsad.com/products/47.html"
"53","حزام شد البطن","حزام شد البطن - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","26.6","36.6","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatFDZAbmvN.jpg?alt=media&token=0cd157ba-187c-4baf-8cbe-ed38e814d2e5","https://sooq-jordan.arabsad.com/products/53.html"
"64","طارد الحشرات والقوارض","طارد الحشرات والقوارض - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","26.5","36.5","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatgBkeyo8c.jpg?alt=media&token=981e0d54-f80d-4a83-81a8-4595a9eac0ab","https://sooq-jordan.arabsad.com/products/64.html"
"3","أداة تقطيع الخضروات","أداة تقطيع الخضروات - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","26.4","36.4","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatDVfovQiA.jpg?alt=media&token=0919c302-5723-4088-a111-8764611ec6f6","https://sooq-jordan.arabsad.com/products/3.html"
"17","مكنسة كهربائية محمولة 3 في 1","مكنسة كهربائية محمولة 3 في 1 - منتج عالي الجودة.
يتميز بتصميم حديث وأداء موثوق.","26.4","36.4","https://firebasestorage.googleapis.com/v0/b/ashyaatcrm.appspot.com/o/images%2FashyaatxgvapQx6.jpg?alt=media&token=eb5dd8c1-80ae-4999-bff7-693777661de4","https://sooq-jordan.arabsad.com/products/17.html"
